"","Locus.1","Locus.2","p.value","std.err","switches","loci"
"5711","locus128",NA,0.001937,106330,NA,"locus128 NA"
"5712","locus128",NA,0.002909,86038,NA,"locus128 NA"
"5713","locus128",NA,NA,NA,NA,"locus128 NA"
"5714","locus128",NA,0.003127,67444,NA,"locus128 NA"
"5715","locus128",NA,0,131013,NA,"locus128 NA"
"5716","locus128",NA,0.002226,82296,NA,"locus128 NA"
"5717","locus128",NA,0,180904,NA,"locus128 NA"
"5718","locus128",NA,0.001686,85931,NA,"locus128 NA"
"5719","locus128",NA,0.002322,81944,NA,"locus128 NA"
"5720","locus128",NA,0.003029,67748,NA,"locus128 NA"
"5721","locus128",NA,0.00199,112760,NA,"locus128 NA"
"5722","locus128",NA,0,112926,NA,"locus128 NA"
"5723","locus128",NA,0,100563,NA,"locus128 NA"
"5724","locus128",NA,0.002181,112448,NA,"locus128 NA"
"5725","locus128",NA,0.00168,95357,NA,"locus128 NA"
"5726","locus128",NA,0,158739,NA,"locus128 NA"
"5727","locus128",NA,0.001226,158350,NA,"locus128 NA"
"5728","locus128",NA,0.001897,131221,NA,"locus128 NA"
"5729","locus128",NA,0.002492,106181,NA,"locus128 NA"
"5730","locus128",NA,0.002425,82251,NA,"locus128 NA"
"5731","locus128",NA,NA,NA,NA,"locus128 NA"
"5732","locus128",NA,0,74731,NA,"locus128 NA"
"5733","locus128",NA,0.001313,180588,NA,"locus128 NA"
"5734","locus128",NA,0.001938,82210,NA,"locus128 NA"
"5735","locus128",NA,0.002219,106297,NA,"locus128 NA"
"5736","locus128",NA,0.002428,106237,NA,"locus128 NA"
"5737","locus128",NA,0.001349,158402,NA,"locus128 NA"
"5738","locus128",NA,0,112163,NA,"locus128 NA"
"5739","locus128",NA,0,158804,NA,"locus128 NA"
"5740","locus128",NA,0.001497,158282,NA,"locus128 NA"
"5741","locus128",NA,0,82195,NA,"locus128 NA"
"5742","locus128",NA,0,158825,NA,"locus128 NA"
"5743","locus128",NA,0,130548,NA,"locus128 NA"
"5744","locus128",NA,0.00137,158473,NA,"locus128 NA"
"5745","locus128",NA,0,73102,NA,"locus128 NA"
"5746","locus128",NA,0.001072,180768,NA,"locus128 NA"
"5747","locus128",NA,0,94910,NA,"locus128 NA"
"5748","locus128",NA,0,130902,NA,"locus128 NA"
"5749","locus128",NA,0.002743,106295,NA,"locus128 NA"
"5750","locus128",NA,0,95409,NA,"locus128 NA"
"5751","locus128",NA,0.001829,112864,NA,"locus128 NA"
"5752","locus128",NA,0,158568,NA,"locus128 NA"
"5753","locus128",NA,0,95305,NA,"locus128 NA"
"5754","locus128",NA,0.00174,113029,NA,"locus128 NA"
"5755","locus128",NA,0.001742,106390,NA,"locus128 NA"
"5756","locus128",NA,0,131102,NA,"locus128 NA"
"5757","locus128",NA,0,180651,NA,"locus128 NA"
"5758","locus128",NA,0,106741,NA,"locus128 NA"
"5759","locus128",NA,0.001826,83542,NA,"locus128 NA"
"5760","locus128",NA,0.001181,181539,NA,"locus128 NA"
"5761","locus128",NA,NA,NA,NA,"locus128 NA"
"5762","locus128",NA,0.001291,158586,NA,"locus128 NA"
"5763","locus128",NA,0,95140,NA,"locus128 NA"
"5764","locus128",NA,0.001194,180937,NA,"locus128 NA"
"5765","locus128",NA,0.001321,158173,NA,"locus128 NA"
"5766","locus128",NA,NA,NA,NA,"locus128 NA"
"5767",NA,NA,106259,NA,NA,"NA NA"
"5768",NA,NA,159071,NA,NA,"NA NA"
"5769",NA,NA,95480,NA,NA,"NA NA"
"5770",NA,NA,180956,NA,NA,"NA NA"
"5771",NA,NA,82203,NA,NA,"NA NA"
"5772",NA,NA,81606,NA,NA,"NA NA"
"5773",NA,NA,91450,NA,NA,"NA NA"
"5774",NA,NA,65053,NA,NA,"NA NA"
"5775",NA,NA,91092,NA,NA,"NA NA"
"5776",NA,NA,134845,NA,NA,"NA NA"
"5777",NA,NA,91400,NA,NA,"NA NA"
"5778",NA,NA,91422,NA,NA,"NA NA"
"5779",NA,NA,82144,NA,NA,"NA NA"
"5780",NA,NA,71310,NA,NA,"NA NA"
"5781",NA,NA,65305,NA,NA,"NA NA"
"5782",NA,NA,91848,NA,NA,"NA NA"
"5783",NA,NA,110820,NA,NA,"NA NA"
"5784",NA,NA,190403,NA,NA,"NA NA"
"5785",NA,NA,71006,NA,NA,"NA NA"
"5786",NA,NA,65531,NA,NA,"NA NA"
"5787",NA,NA,65165,NA,NA,"NA NA"
"5788",NA,NA,NA,NA,NA,"NA NA"
"5789",NA,NA,135101,NA,NA,"NA NA"
"5790",NA,NA,59646,NA,NA,"NA NA"
"5791",NA,NA,49919,NA,NA,"NA NA"
"5792",NA,NA,135207,NA,NA,"NA NA"
"5793",NA,NA,82421,NA,NA,"NA NA"
"5794",NA,NA,65763,NA,NA,"NA NA"
"5795",NA,NA,53585,NA,NA,"NA NA"
"5796",NA,NA,71798,NA,NA,"NA NA"
"5797",NA,NA,NA,NA,NA,"NA NA"
"5798",NA,NA,190416,NA,NA,"NA NA"
"5799",NA,NA,190166,NA,NA,"NA NA"
"5800",NA,NA,71125,NA,NA,"NA NA"
"5801",NA,NA,49921,NA,NA,"NA NA"
"5802",NA,NA,135041,NA,NA,"NA NA"
"5803",NA,NA,91133,NA,NA,"NA NA"
"5804",NA,NA,71215,NA,NA,"NA NA"
"5805",NA,NA,81954,NA,NA,"NA NA"
"5806",NA,NA,59640,NA,NA,"NA NA"
"5807",NA,NA,NA,NA,NA,"NA NA"
"5808",NA,NA,91324,NA,NA,"NA NA"
"5809",NA,NA,191145,NA,NA,"NA NA"
"5810",NA,NA,59717,NA,NA,"NA NA"
"5811",NA,NA,190769,NA,NA,"NA NA"
"5812",NA,NA,135404,NA,NA,"NA NA"
"5813",NA,NA,71598,NA,NA,"NA NA"
"5814",NA,NA,65679,NA,NA,"NA NA"
"5815",NA,NA,71473,NA,NA,"NA NA"
"5816",NA,NA,55838,NA,NA,"NA NA"
"5817",NA,NA,53651,NA,NA,"NA NA"
"5818",NA,NA,81970,NA,NA,"NA NA"
"5819",NA,NA,65447,NA,NA,"NA NA"
"5820",NA,NA,NA,NA,NA,"NA NA"
"5821",NA,NA,49818,NA,NA,"NA NA"
"5822",NA,NA,110979,NA,NA,"NA NA"
"5823",NA,NA,59204,NA,NA,"NA NA"
"5824",NA,NA,189856,NA,NA,"NA NA"
"5825",NA,NA,65598,NA,NA,"NA NA"
"5826",NA,NA,59369,NA,NA,"NA NA"
"5827",NA,NA,50321,NA,NA,"NA NA"
"5828",NA,NA,90958,NA,NA,"NA NA"
"5829",NA,NA,91499,NA,NA,"NA NA"
"5830",NA,NA,99876,NA,NA,"NA NA"
"5831",NA,NA,91570,NA,NA,"NA NA"
"5832",NA,NA,71006,NA,NA,"NA NA"
"5833",NA,NA,134650,NA,NA,"NA NA"
"5834",NA,NA,134518,NA,NA,"NA NA"
"5835",NA,NA,110902,NA,NA,"NA NA"
"5836",NA,NA,82212,NA,NA,"NA NA"
"5837",NA,NA,59505,NA,NA,"NA NA"
"5838",NA,NA,NA,NA,NA,"NA NA"
"5839",NA,NA,53687,NA,NA,"NA NA"
"5840",NA,NA,190386,NA,NA,"NA NA"
"5841",NA,NA,59669,NA,NA,"NA NA"
"5842",NA,NA,82004,NA,NA,"NA NA"
"5843",NA,NA,82091,NA,NA,"NA NA"
"5844",NA,NA,135600,NA,NA,"NA NA"
"5845",NA,NA,91502,NA,NA,"NA NA"
"5846",NA,NA,135522,NA,NA,"NA NA"
"5847",NA,NA,134742,NA,NA,"NA NA"
"5848",NA,NA,59467,NA,NA,"NA NA"
"5849",NA,NA,134744,NA,NA,"NA NA"
"5850",NA,NA,110964,NA,NA,"NA NA"
"5851",NA,NA,135238,NA,NA,"NA NA"
"5852",NA,NA,55969,NA,NA,"NA NA"
"5853",NA,NA,189900,NA,NA,"NA NA"
"5854",NA,NA,71729,NA,NA,"NA NA"
"5855",NA,NA,111092,NA,NA,"NA NA"
"5856",NA,NA,81909,NA,NA,"NA NA"
"5857",NA,NA,70998,NA,NA,"NA NA"
"5858",NA,NA,90945,NA,NA,"NA NA"
"5859",NA,NA,135169,NA,NA,"NA NA"
"5860",NA,NA,71169,NA,NA,"NA NA"
"5861",NA,NA,91320,NA,NA,"NA NA"
"5862",NA,NA,81118,NA,NA,"NA NA"
"5863",NA,NA,110910,NA,NA,"NA NA"
"5864",NA,NA,190032,NA,NA,"NA NA"
"5865",NA,NA,81686,NA,NA,"NA NA"
"5866",NA,NA,83433,NA,NA,"NA NA"
"5867",NA,NA,190418,NA,NA,"NA NA"
"5868",NA,NA,NA,NA,NA,"NA NA"
"5869",NA,NA,134332,NA,NA,"NA NA"
"5870",NA,NA,71159,NA,NA,"NA NA"
"5871",NA,NA,190678,NA,NA,"NA NA"
"5872",NA,NA,135296,NA,NA,"NA NA"
"5873",NA,NA,NA,NA,NA,"NA NA"
"5874",NA,NA,81887,NA,NA,"NA NA"
"5875",NA,NA,134732,NA,NA,"NA NA"
"5876",NA,NA,72535,NA,NA,"NA NA"
"5877",NA,NA,190364,NA,NA,"NA NA"
"5878",NA,NA,82310,NA,NA,"NA NA"
"5879",NA,NA,155522,NA,NA,"NA NA"
"5880",NA,NA,166288,NA,NA,"NA NA"
"5881",NA,NA,166761,NA,NA,"NA NA"
"5882",NA,NA,149744,NA,NA,"NA NA"
"5883",NA,NA,166148,NA,NA,"NA NA"
"5884",NA,NA,232919,NA,NA,"NA NA"
"5885",NA,NA,166141,NA,NA,"NA NA"
"5886",NA,NA,200138,NA,NA,"NA NA"
"5887",NA,NA,155062,NA,NA,"NA NA"
"5888",NA,NA,166815,NA,NA,"NA NA"
"5889",NA,NA,166448,NA,NA,"NA NA"
"5890",NA,NA,166302,NA,NA,"NA NA"
"5891",NA,NA,199773,NA,NA,"NA NA"
"5892",NA,NA,232961,NA,NA,"NA NA"
"5893",NA,NA,166618,NA,NA,"NA NA"
"5894",NA,NA,144624,NA,NA,"NA NA"
"5895",NA,NA,166726,NA,NA,"NA NA"
"5896",NA,NA,NA,NA,NA,"NA NA"
"5897",NA,NA,233071,NA,NA,"NA NA"
"5898",NA,NA,155177,NA,NA,"NA NA"
"5899",NA,NA,149859,NA,NA,"NA NA"
"5900",NA,NA,167029,NA,NA,"NA NA"
"5901",NA,NA,166686,NA,NA,"NA NA"
"5902",NA,NA,166495,NA,NA,"NA NA"
"5903",NA,NA,149638,NA,NA,"NA NA"
"5904",NA,NA,167090,NA,NA,"NA NA"
"5905",NA,NA,NA,NA,NA,"NA NA"
"5906",NA,NA,233690,NA,NA,"NA NA"
"5907",NA,NA,200780,NA,NA,"NA NA"
"5908",NA,NA,166251,NA,NA,"NA NA"
"5909",NA,NA,133266,NA,NA,"NA NA"
"5910",NA,NA,233473,NA,NA,"NA NA"
"5911",NA,NA,166766,NA,NA,"NA NA"
"5912",NA,NA,165935,NA,NA,"NA NA"
"5913",NA,NA,155684,NA,NA,"NA NA"
"5914",NA,NA,166144,NA,NA,"NA NA"
"5915",NA,NA,NA,NA,NA,"NA NA"
"5916",NA,NA,167239,NA,NA,"NA NA"
"5917",NA,NA,199329,NA,NA,"NA NA"
"5918",NA,NA,155092,NA,NA,"NA NA"
"5919",NA,NA,199915,NA,NA,"NA NA"
"5920",NA,NA,233845,NA,NA,"NA NA"
"5921",NA,NA,NA,NA,NA,"NA NA"
"5922",NA,NA,144940,NA,NA,"NA NA"
"5923",NA,NA,NA,NA,NA,"NA NA"
"5924",NA,NA,144698,NA,NA,"NA NA"
"5925",NA,NA,155466,NA,NA,"NA NA"
"5926",NA,NA,166647,NA,NA,"NA NA"
"5927",NA,NA,166706,NA,NA,"NA NA"
"5928",NA,NA,NA,NA,NA,"NA NA"
"5929",NA,NA,133855,NA,NA,"NA NA"
"5930",NA,NA,199690,NA,NA,"NA NA"
"5931",NA,NA,155661,NA,NA,"NA NA"
"5932",NA,NA,199515,NA,NA,"NA NA"
"5933",NA,NA,149967,NA,NA,"NA NA"
"5934",NA,NA,155361,NA,NA,"NA NA"
"5935",NA,NA,149937,NA,NA,"NA NA"
"5936",NA,NA,200214,NA,NA,"NA NA"
"5937",NA,NA,166620,NA,NA,"NA NA"
"5938",NA,NA,99742,NA,NA,"NA NA"
"5939",NA,NA,199718,NA,NA,"NA NA"
"5940",NA,NA,166653,NA,NA,"NA NA"
"5941",NA,NA,233312,NA,NA,"NA NA"
"5942",NA,NA,233837,NA,NA,"NA NA"
"5943",NA,NA,167129,NA,NA,"NA NA"
"5944",NA,NA,155478,NA,NA,"NA NA"
"5945",NA,NA,155320,NA,NA,"NA NA"
"5946",NA,NA,NA,NA,NA,"NA NA"
"5947",NA,NA,149967,NA,NA,"NA NA"
"5948",NA,NA,233711,NA,NA,"NA NA"
"5949",NA,NA,156119,NA,NA,"NA NA"
"5950",NA,NA,166405,NA,NA,"NA NA"
"5951",NA,NA,156115,NA,NA,"NA NA"
"5952",NA,NA,233073,NA,NA,"NA NA"
"5953",NA,NA,166545,NA,NA,"NA NA"
"5954",NA,NA,234016,NA,NA,"NA NA"
"5955",NA,NA,166502,NA,NA,"NA NA"
"5956",NA,NA,155563,NA,NA,"NA NA"
"5957",NA,NA,233034,NA,NA,"NA NA"
"5958",NA,NA,200306,NA,NA,"NA NA"
"5959",NA,NA,233452,NA,NA,"NA NA"
"5960",NA,NA,144159,NA,NA,"NA NA"
"5961",NA,NA,233622,NA,NA,"NA NA"
"5962",NA,NA,167197,NA,NA,"NA NA"
"5963",NA,NA,166672,NA,NA,"NA NA"
"5964",NA,NA,155534,NA,NA,"NA NA"
"5965",NA,NA,166193,NA,NA,"NA NA"
"5966",NA,NA,200213,NA,NA,"NA NA"
"5967",NA,NA,233404,NA,NA,"NA NA"
"5968",NA,NA,166880,NA,NA,"NA NA"
"5969",NA,NA,166739,NA,NA,"NA NA"
"5970",NA,NA,155234,NA,NA,"NA NA"
"5971",NA,NA,199817,NA,NA,"NA NA"
"5972",NA,NA,199835,NA,NA,"NA NA"
"5973",NA,NA,166381,NA,NA,"NA NA"
"5974",NA,NA,NA,NA,NA,"NA NA"
"5975",NA,NA,200592,NA,NA,"NA NA"
"5976",NA,NA,NA,NA,NA,"NA NA"
"5977",NA,NA,233064,NA,NA,"NA NA"
"5978",NA,NA,166770,NA,NA,"NA NA"
"5979",NA,NA,233676,NA,NA,"NA NA"
"5980",NA,NA,232699,NA,NA,"NA NA"
"5981",NA,NA,NA,NA,NA,"NA NA"
"5982",NA,NA,155866,NA,NA,"NA NA"
"5983",NA,NA,233899,NA,NA,"NA NA"
"5984",NA,NA,166695,NA,NA,"NA NA"
"5985",NA,NA,199830,NA,NA,"NA NA"
"5986",NA,NA,233770,NA,NA,"NA NA"
"5987",NA,NA,166092,NA,NA,"NA NA"
"5988",NA,NA,106668,NA,NA,"NA NA"
"5989",NA,NA,106200,NA,NA,"NA NA"
"5990",NA,NA,112887,NA,NA,"NA NA"
"5991",NA,NA,85612,NA,NA,"NA NA"
"5992",NA,NA,113057,NA,NA,"NA NA"
"5993",NA,NA,159084,NA,NA,"NA NA"
"5994",NA,NA,112620,NA,NA,"NA NA"
"5995",NA,NA,113286,NA,NA,"NA NA"
"5996",NA,NA,106942,NA,NA,"NA NA"
"5997",NA,NA,95950,NA,NA,"NA NA"
"5998",NA,NA,86259,NA,NA,"NA NA"
"5999",NA,NA,113067,NA,NA,"NA NA"
"6000",NA,NA,131272,NA,NA,"NA NA"
"6001",NA,NA,181078,NA,NA,"NA NA"
"6002",NA,NA,95184,NA,NA,"NA NA"
"6003",NA,NA,86052,NA,NA,"NA NA"
"6004",NA,NA,86070,NA,NA,"NA NA"
"6005",NA,NA,NA,NA,NA,"NA NA"
"6006",NA,NA,158917,NA,NA,"NA NA"
"6007",NA,NA,82111,NA,NA,"NA NA"
"6008",NA,NA,67365,NA,NA,"NA NA"
"6009",NA,NA,159108,NA,NA,"NA NA"
"6010",NA,NA,106235,NA,NA,"NA NA"
"6011",NA,NA,86483,NA,NA,"NA NA"
"6012",NA,NA,74747,NA,NA,"NA NA"
"6013",NA,NA,95062,NA,NA,"NA NA"
"6014",NA,NA,NA,NA,NA,"NA NA"
"6015",NA,NA,181191,NA,NA,"NA NA"
"6016",NA,NA,181068,NA,NA,"NA NA"
"6017",NA,NA,95242,NA,NA,"NA NA"
"6018",NA,NA,67983,NA,NA,"NA NA"
"6019",NA,NA,159223,NA,NA,"NA NA"
"6020",NA,NA,112841,NA,NA,"NA NA"
"6021",NA,NA,94558,NA,NA,"NA NA"
"6022",NA,NA,106529,NA,NA,"NA NA"
"6023",NA,NA,81853,NA,NA,"NA NA"
"6024",NA,NA,NA,NA,NA,"NA NA"
"6025",NA,NA,112781,NA,NA,"NA NA"
"6026",NA,NA,181295,NA,NA,"NA NA"
"6027",NA,NA,81903,NA,NA,"NA NA"
"6028",NA,NA,180684,NA,NA,"NA NA"
"6029",NA,NA,158904,NA,NA,"NA NA"
"6030",NA,NA,95327,NA,NA,"NA NA"
"6031",NA,NA,85797,NA,NA,"NA NA"
"6032",NA,NA,95061,NA,NA,"NA NA"
"6033",NA,NA,73033,NA,NA,"NA NA"
"6034",NA,NA,74632,NA,NA,"NA NA"
"6035",NA,NA,106095,NA,NA,"NA NA"
"6036",NA,NA,85992,NA,NA,"NA NA"
"6037",NA,NA,NA,NA,NA,"NA NA"
"6038",NA,NA,67284,NA,NA,"NA NA"
"6039",NA,NA,131119,NA,NA,"NA NA"
"6040",NA,NA,81875,NA,NA,"NA NA"
"6041",NA,NA,180954,NA,NA,"NA NA"
"6042",NA,NA,85523,NA,NA,"NA NA"
"6043",NA,NA,81897,NA,NA,"NA NA"
"6044",NA,NA,67359,NA,NA,"NA NA"
"6045",NA,NA,112642,NA,NA,"NA NA"
"6046",NA,NA,112152,NA,NA,"NA NA"
"6047",NA,NA,100122,NA,NA,"NA NA"
"6048",NA,NA,112563,NA,NA,"NA NA"
"6049",NA,NA,94779,NA,NA,"NA NA"
"6050",NA,NA,159177,NA,NA,"NA NA"
"6051",NA,NA,158355,NA,NA,"NA NA"
"6052",NA,NA,131243,NA,NA,"NA NA"
"6053",NA,NA,106127,NA,NA,"NA NA"
"6054",NA,NA,82076,NA,NA,"NA NA"
"6055",NA,NA,NA,NA,NA,"NA NA"
"6056",NA,NA,74805,NA,NA,"NA NA"
"6057",NA,NA,180874,NA,NA,"NA NA"
"6058",NA,NA,81931,NA,NA,"NA NA"
"6059",NA,NA,106170,NA,NA,"NA NA"
"6060",NA,NA,106534,NA,NA,"NA NA"
"6061",NA,NA,158035,NA,NA,"NA NA"
"6062",NA,NA,112579,NA,NA,"NA NA"
"6063",NA,NA,158178,NA,NA,"NA NA"
"6064",NA,NA,158808,NA,NA,"NA NA"
"6065",NA,NA,81897,NA,NA,"NA NA"
"6066",NA,NA,158566,NA,NA,"NA NA"
"6067",NA,NA,130745,NA,NA,"NA NA"
"6068",NA,NA,158834,NA,NA,"NA NA"
"6069",NA,NA,73274,NA,NA,"NA NA"
"6070",NA,NA,180926,NA,NA,"NA NA"
"6071",NA,NA,95408,NA,NA,"NA NA"
"6072",NA,NA,131094,NA,NA,"NA NA"
"6073",NA,NA,106067,NA,NA,"NA NA"
"6074",NA,NA,95025,NA,NA,"NA NA"
"6075",NA,NA,112137,NA,NA,"NA NA"
"6076",NA,NA,158967,NA,NA,"NA NA"
"6077",NA,NA,95057,NA,NA,"NA NA"
"6078",NA,NA,113120,NA,NA,"NA NA"
"6079",NA,NA,106434,NA,NA,"NA NA"
"6080",NA,NA,130960,NA,NA,"NA NA"
"6081",NA,NA,181050,NA,NA,"NA NA"
"6082",NA,NA,106172,NA,NA,"NA NA"
"6083",NA,NA,111215,NA,NA,"NA NA"
"6084",NA,NA,181100,NA,NA,"NA NA"
"6085",NA,NA,NA,NA,NA,"NA NA"
"6086",NA,NA,158595,NA,NA,"NA NA"
"6087",NA,NA,95196,NA,NA,"NA NA"
"6088",NA,NA,180650,NA,NA,"NA NA"
"6089",NA,NA,158842,NA,NA,"NA NA"
"6090",NA,NA,NA,NA,NA,"NA NA"
"6091",NA,NA,NA,NA,NA,"NA NA"
"6092",NA,NA,NA,NA,NA,"NA NA"
"6093",NA,NA,NA,NA,NA,"NA NA"
"6094",NA,NA,NA,NA,NA,"NA NA"
"6095",NA,NA,NA,NA,NA,"NA NA"
"6096",NA,NA,NA,NA,NA,"NA NA"
"6097",NA,NA,NA,NA,NA,"NA NA"
"6098",NA,NA,NA,NA,NA,"NA NA"
"6099",NA,NA,NA,NA,NA,"NA NA"
"6100",NA,NA,NA,NA,NA,"NA NA"
"6101",NA,NA,NA,NA,NA,"NA NA"
"6102",NA,NA,NA,NA,NA,"NA NA"
"6103",NA,NA,NA,NA,NA,"NA NA"
"6104",NA,NA,NA,NA,NA,"NA NA"
"6105",NA,NA,NA,NA,NA,"NA NA"
"6106",NA,NA,NA,NA,NA,"NA NA"
"6107",NA,NA,NA,NA,NA,"NA NA"
"6108",NA,NA,NA,NA,NA,"NA NA"
"6109",NA,NA,NA,NA,NA,"NA NA"
"6110",NA,NA,NA,NA,NA,"NA NA"
"6111",NA,NA,NA,NA,NA,"NA NA"
"6112",NA,NA,NA,NA,NA,"NA NA"
"6113",NA,NA,NA,NA,NA,"NA NA"
"6114",NA,NA,NA,NA,NA,"NA NA"
"6115",NA,NA,NA,NA,NA,"NA NA"
"6116",NA,NA,NA,NA,NA,"NA NA"
"6117",NA,NA,NA,NA,NA,"NA NA"
"6118",NA,NA,NA,NA,NA,"NA NA"
"6119",NA,NA,NA,NA,NA,"NA NA"
"6120",NA,NA,NA,NA,NA,"NA NA"
"6121",NA,NA,NA,NA,NA,"NA NA"
"6122",NA,NA,NA,NA,NA,"NA NA"
"6123",NA,NA,NA,NA,NA,"NA NA"
"6124",NA,NA,NA,NA,NA,"NA NA"
"6125",NA,NA,NA,NA,NA,"NA NA"
"6126",NA,NA,NA,NA,NA,"NA NA"
"6127",NA,NA,NA,NA,NA,"NA NA"
"6128",NA,NA,NA,NA,NA,"NA NA"
"6129",NA,NA,NA,NA,NA,"NA NA"
"6130",NA,NA,NA,NA,NA,"NA NA"
"6131",NA,NA,NA,NA,NA,"NA NA"
"6132",NA,NA,NA,NA,NA,"NA NA"
"6133",NA,NA,NA,NA,NA,"NA NA"
"6134",NA,NA,NA,NA,NA,"NA NA"
"6135",NA,NA,NA,NA,NA,"NA NA"
"6136",NA,NA,NA,NA,NA,"NA NA"
"6137",NA,NA,NA,NA,NA,"NA NA"
"6138",NA,NA,NA,NA,NA,"NA NA"
"6139",NA,NA,NA,NA,NA,"NA NA"
"6140",NA,NA,NA,NA,NA,"NA NA"
"6141",NA,NA,NA,NA,NA,"NA NA"
"6142",NA,NA,NA,NA,NA,"NA NA"
"6143",NA,NA,NA,NA,NA,"NA NA"
"6144",NA,NA,NA,NA,NA,"NA NA"
"6145",NA,NA,NA,NA,NA,"NA NA"
"6146",NA,NA,NA,NA,NA,"NA NA"
"6147",NA,NA,NA,NA,NA,"NA NA"
"6148",NA,NA,NA,NA,NA,"NA NA"
"6149",NA,NA,NA,NA,NA,"NA NA"
"6150",NA,NA,NA,NA,NA,"NA NA"
"6151",NA,NA,NA,NA,NA,"NA NA"
"6152",NA,NA,NA,NA,NA,"NA NA"
"6153",NA,NA,NA,NA,NA,"NA NA"
"6154",NA,NA,NA,NA,NA,"NA NA"
"6155",NA,NA,NA,NA,NA,"NA NA"
"6156",NA,NA,NA,NA,NA,"NA NA"
"6157",NA,NA,NA,NA,NA,"NA NA"
"6158",NA,NA,NA,NA,NA,"NA NA"
"6159",NA,NA,NA,NA,NA,"NA NA"
"6160",NA,NA,NA,NA,NA,"NA NA"
"6161",NA,NA,NA,NA,NA,"NA NA"
"6162",NA,NA,NA,NA,NA,"NA NA"
"6163",NA,NA,NA,NA,NA,"NA NA"
"6164",NA,NA,NA,NA,NA,"NA NA"
"6165",NA,NA,NA,NA,NA,"NA NA"
"6166",NA,NA,NA,NA,NA,"NA NA"
"6167",NA,NA,NA,NA,NA,"NA NA"
"6168",NA,NA,NA,NA,NA,"NA NA"
"6169",NA,NA,NA,NA,NA,"NA NA"
"6170",NA,NA,NA,NA,NA,"NA NA"
"6171",NA,NA,NA,NA,NA,"NA NA"
"6172",NA,NA,NA,NA,NA,"NA NA"
"6173",NA,NA,NA,NA,NA,"NA NA"
"6174",NA,NA,NA,NA,NA,"NA NA"
"6175",NA,NA,NA,NA,NA,"NA NA"
"6176",NA,NA,NA,NA,NA,"NA NA"
"6177",NA,NA,NA,NA,NA,"NA NA"
"6178",NA,NA,NA,NA,NA,"NA NA"
"6179",NA,NA,NA,NA,NA,"NA NA"
"6180",NA,NA,NA,NA,NA,"NA NA"
"6181",NA,NA,NA,NA,NA,"NA NA"
"6182",NA,NA,NA,NA,NA,"NA NA"
"6183",NA,NA,NA,NA,NA,"NA NA"
"6184",NA,NA,NA,NA,NA,"NA NA"
"6185",NA,NA,NA,NA,NA,"NA NA"
"6186",NA,NA,NA,NA,NA,"NA NA"
"6187",NA,NA,NA,NA,NA,"NA NA"
"6188",NA,NA,NA,NA,NA,"NA NA"
"6189",NA,NA,NA,NA,NA,"NA NA"
"6190",NA,NA,NA,NA,NA,"NA NA"
"6191",NA,NA,NA,NA,NA,"NA NA"
"6192",NA,NA,NA,NA,NA,"NA NA"
"6193",NA,NA,NA,NA,NA,"NA NA"
"6194",NA,NA,NA,NA,NA,"NA NA"
"6195",NA,NA,NA,NA,NA,"NA NA"
"6196",NA,NA,NA,NA,NA,"NA NA"
"6197",NA,NA,NA,NA,NA,"NA NA"
"6198",NA,NA,NA,NA,NA,"NA NA"
"6199",NA,NA,NA,NA,NA,"NA NA"
"6200",NA,NA,NA,NA,NA,"NA NA"
"6201",NA,NA,NA,NA,NA,"NA NA"
"6202",NA,NA,NA,NA,NA,"NA NA"
"6203",NA,NA,NA,NA,NA,"NA NA"
"6204",NA,NA,NA,NA,NA,"NA NA"
"6205",NA,NA,NA,NA,NA,"NA NA"
"6206",NA,NA,NA,NA,NA,"NA NA"
"6207",NA,NA,NA,NA,NA,"NA NA"
"6208",NA,NA,NA,NA,NA,"NA NA"
"6209",NA,NA,NA,NA,NA,"NA NA"
"6210",NA,NA,NA,NA,NA,"NA NA"
"6211",NA,NA,NA,NA,NA,"NA NA"
"6212",NA,NA,NA,NA,NA,"NA NA"
"6213",NA,NA,NA,NA,NA,"NA NA"
"6214",NA,NA,NA,NA,NA,"NA NA"
"6215",NA,NA,NA,NA,NA,"NA NA"
"6216",NA,NA,NA,NA,NA,"NA NA"
"6217",NA,NA,NA,NA,NA,"NA NA"
"6218",NA,NA,NA,NA,NA,"NA NA"
"6219",NA,NA,NA,NA,NA,"NA NA"
"6220",NA,NA,NA,NA,NA,"NA NA"
"6221",NA,NA,NA,NA,NA,"NA NA"
"6222",NA,NA,NA,NA,NA,"NA NA"
"6223",NA,NA,NA,NA,NA,"NA NA"
"6224",NA,NA,NA,NA,NA,"NA NA"
"6225",NA,NA,NA,NA,NA,"NA NA"
"6226",NA,NA,NA,NA,NA,"NA NA"
"6227",NA,NA,NA,NA,NA,"NA NA"
"6228",NA,NA,NA,NA,NA,"NA NA"
"6229",NA,NA,NA,NA,NA,"NA NA"
"6230",NA,NA,NA,NA,NA,"NA NA"
"6231",NA,NA,NA,NA,NA,"NA NA"
"6232",NA,NA,NA,NA,NA,"NA NA"
"6233",NA,NA,NA,NA,NA,"NA NA"
"6234",NA,NA,NA,NA,NA,"NA NA"
"6235",NA,NA,NA,NA,NA,"NA NA"
"6236",NA,NA,NA,NA,NA,"NA NA"
"6237",NA,NA,NA,NA,NA,"NA NA"
"6238",NA,NA,NA,NA,NA,"NA NA"
"6239",NA,NA,NA,NA,NA,"NA NA"
